Disponibilité,Carrosserie,Garantie,Nombre de places,Nombre de portes,Nombre de cylindres,Energie,Puissance fiscale,Puissance (ch.din),Couple,Cylindrée,Boîte,Nombre de rapports,Transmission,Longueur,Largeur,Hauteur,Volume du coffre,0-100 Km/h,Vitesse maxi,Consommation urbaine,Consommation extra-urbaine,Consommation mixte,ABS,Airbags,Anti-démarrage électronique,Contrôle de pression des pneus,Fixations ISOFIX,Anti-patinage,Aide au stationnement,Assistance au freinage,Alerte de franchissement de ligne,Direction assistée,Régulateur de vitesse,Limiteur de vitesse,Antibrouillards,Eléments extérieurs couleur carrosserie,Feux à LED,Jantes,Lave Phares,Phares,Autoradio,Connectivité,Ecran central,Accoudoirs,Appuis têtes arrières,Finition intérieure,Pommeau de levier de vitesse,Sellerie,Sièges,Sièges réglables en hauteur,Tapis de sol,Vitres,Volant,Volant réglable,Bouton Start & Stop,Climatisation,Fermeture centralisée,Ordinateur de bord,Système Start & Stop,Rétroviseurs extérieurs,Rétroviseur intérieur,Vitres électriques,prix,description,Peinture,Aide au maintien dans la voie,Boîte à gants réfrigérée,Rideau de benne,Stores pare-soleil,Kit rangement,Freinage,Voiture populaire,Coffre à bagages,Préparation pour téléphone,Kit sécurité,Stabilisateur de vent latéral,DSC,Poignées de portes,Spoiler arrière,Affichage tête haute,Train roulant,Charge utile,Arceau de benne,Version pays chauds,Détecteur de fatigue,Fermeture assistée des portes,Nombre de moteurs électriques,Autonomie électrique WLTP,Contrôle de stabilité anti-retournement,Allumage automatique des feux,Contrôle adaptatif de la charge,Volume utile,Aide au démarrage en côte,Calandre,Pack nuit,Toit,Puissance avec overboost (ch.din),Assistant de feux de route,Conduite autonome,Surface de chargement,Pédaliers,Volume du coffre maximal,Éclairage d'accompagnement,Boulons de roues protégés,Baguettes extérieures d'encadrement des vitres,Boule d'attelage,Kit fumeurs,4 roues directrices,Surveillance d’angle mort,Modes de conduite,Différentiel autobloquant,Clé intelligente,Cloison entre cabine et compartiment arrière,Temps de recharge normale,Instrumentation digitale,Suspension,Batterie,Terrain Response,Alerte de circulation transversale,Ciel de pavillon,Pneumatiques runflat,Kit éclairage,Marchepieds latéraux,Reconnaissance des panneaux,Frein de stationnement,Détection des piétons,Tableau de bord,Barre stabilisatrice,Puissance électrique,Caméra d'angle mort,Emissions de CO2,Seuils de portes,Couple électrique,Dynamic Response,Lumières d'ambiance,Alimentation électrique,Système de descente en côte,Carte mains libres,Navigation,Temps de recharge rapide,Pack aérodynamique M,Alarme antivol,Détecteur de pluie,Contrôle du roulis de la remorque,Barres de toit,Consommation électrique WLTP,Volume du coffre avant,Kit carrosserie,Sorties d’échappement
Indisponible,Berline,3 ans,5,4,4,Essence,11CV,200CH,330nm1750tr/min,1995CM³,Automatique,8,Propulsion,4643mm,1860mm,1436mm,480L,6.6s,235KM/H,8.4L/100 km,4.6L/100 km,5.9L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESP | ASR,Radar de recul | Radar avant,Active City Brake | AFU | EBD,,,Adaptatif,,,,Avant | Arrières,En aluminium | 17'',,Bi-xénon,8 haut-parleurs | Commandes au volant,2 USB | AUX | Bluetooth,7 pouces,Avant | Arrière,3,Bois,Cuir,Cuir,Électriques | Fonction mémoire,Conducteur et passager,,Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants,Anti-éblouissement,Avant/Arrière,198 000 DT TTC,Alfa Romeo Giulia2.0 Turbo  Super BVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,SUV,3 ans,5,5,4,Essence,17CV,280CH,400nm2250tr/min,1995CM³,Automatique,8,Intégrale,4687mm,1903mm,1671mm,525L,5.7s,230KM/H,8.9L/100 km,5.9L/100 km,7L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESP | ASR,Radar de recul | Radar avant | Caméra de recul,AFU | Active City Brake | EBD | Système anti-collision avec détection des piétons,,,Cruise control,,,,Feux de jour | Avant | Arrières,En aluminium | 20'',,Xénon | Bi-xénon,8 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,Tactile | 6.5 pouces,Avant | Arrière,3,Bois,,Cuir,Électriques |  Conducteur à réglage électrique | 8 directions | Chauffants | Réglage lombaire | Fonction mémoire,Conducteur et passager,,,Cuir | Chauffant | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants | Éclairage d'accueil à LED,,Avant/Arrière,265 000 DT TTC,Alfa Romeo Stelvio2.0 Turbo    BVA Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ouvrant | Panoramique | + 7000 DT,,,,,,,,,,,,,,,,Accès mains libres,,,,,,,,,,,,,,,,,,,,,,,,,HDC,,Cartographie Tunisienne,,,,,,,,,,Chromées
Disponible,Berline,3 ans,5,4,4,Essence,8CV,150CH,250nm1500tr/min,1395CM³,Automatique,8,Traction,4490mm,1820mm,1420mm,425L,8.5s,215KM/H,6.3L/100 km,4.8L/100 km,5.4L/100 km,,Frontaux | Latéraux | Protège-tête,,,,ESP,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,,,,,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 17'',,Full LED,MMI Radio Plus | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.1 pouces,Avant,,Style aluminium | Inserts décoratifs en Gris Platine,,Tissu,,Conducteur et passager,,Parebrise athermique,Cuir | 3 branches | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles | Avec clignotants intégrés,Anti-éblouissement  | Sans Cadre,Avant/Arrière,156 000 DT TTC,Audi A3 Berline35 TFSI Business Extended,,,,,,,,,,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pack brillance,,,,,,,Accès mains libres,,,10.25'' | Digital Cockpit,,,,,,,,,,Éléctrique,,,,,,,,,,LED,1 prise 12 V,,,,,,,,,,,,,
Disponible,Berline,3 ans,5,4,4,Essence,8CV,150CH,270nm1350tr/min,1984CM³,Automatique,7,Traction,4730mm,1840mm,1430mm,480L,8.6s,224KM/H,7.1L/100 km,4.6L/100 km,5.5L/100 km,,Frontaux | Latéraux | Protège-tête,,,,ESP,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,,,,,,,,Avant | Arrières,En aluminium | 17'',,LED,MMI Radio Plus | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Audi smartphone interface,Tactile | 10.1 pouces,Avant,3,Laque diamantée (gris),Cuir,Tissu,Électriques | Réglage lombaire,Conducteur et passager,,,Cuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique | 3 zones,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles,Anti-éblouissement  | Sans Cadre,Avant/Arrière,198 000 DT TTC,Audi A435 TFSI  Business Line Plus S-tronic,,,,,Pour vitres de portes arrières,,,,,,Triangle de présignalisation | Trousse de premiers secours,,,,,,,,,,,,,,,,,,Audi hold assist,,,,,,,,,,,,Chrome | Pack brillance,,,,,,,Accès mains libres,,,,,,,,,,,,,,,,,,,,Aluminium,,,LED,,,,,,,,,,,,,,
Disponible,Berline,3 ans,5,5,4,Essence,8CV,150CH,270nm1350tr/min,1984CM³,Automatique,7,Traction,4733mm,1843mm,1386mm,465L,9.1s,210KM/H,7.1L/100 km,4.7L/100 km,5.6L/100 km,,Frontaux | Latéraux | Protège-tête,,,,ESP,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,AFU,,,,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 19'',,Full LED | Audi Matrix LED,10 haut-parleurs | MMI Radio Plus | Commandes au volant | Système Audio Audi (180W),USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale,Tactile | 10.1 pouces,Avant,3,Laqué Piano Noir,Cuir,Cuir | Nappa,Électriques | Réglage lombaire | Sport,Conducteur et passager,Velours,Lunette et vitres arrières sur-teintées,Cuir | 3 branches | Multi-fonctions | à méplat | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | 3 zones,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles | Avec clignotants intégrés,Anti-éblouissement  | Sans Cadre,Avant/Arrière,230 000 DT TTC,Audi A5 Sportback35 TFSI  S-Line Selection S-tronic,,,,,,Pack vide-poches et coffre à bagages,,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,Audi hold assist,,,,,,,,,,,,Chrome | Pack brillance,,,,,Audi Drive Select,,Accès mains libres,,,Audi Virtual Cockpit | 12.3'',,,,,,,,,,,,,,,,,Aluminium | Eclairés | S-line,,,LED,,,,,,,,,,,,,S-line,
Sur commande,Berline,3 ans,5,4,4,Essence | Hybride léger,11CV,190CH,320nm1450tr/min,1984CM³,Automatique,7,Traction,4939mm,1886mm,1457mm,530L,8.3s,230KM/H,8.7L/100 km,5.7L/100 km,6.8L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESP,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,AFU,,Progressive,,,,,Arrières | Clignotants à défilement,En aluminium | 19'',,Full LED | Audi Digital Matrix LED HD,10 haut-parleurs | MMI Radio Plus | Commandes au volant | 180 watts | Subwoofer,Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil | Audi smartphone interface,,Avant | Arrière,,Alu Fragment,,Cuir | Similicuir,Électriques | Réglage lombaire | Fonction mémoire,,,Parebrise athermique | Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants | Mémoire de position,Anti-éblouissement  | Sans Cadre,Avant/Arrière,295 000 DT TTC,Audi A640 TFSI S-Line,,,,,Pour vitres de portes arrières | Pour lunette arrière,,,,Ouverture et fermeture motorisée | Ouverture mains libres,,Triangle de présignalisation | Trousse de premiers secours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,,,Audi Drive Select,,Accès mains libres,,,Audi Virtual Cockpit | 12.3'',,,,,,,,,,,,Similicuir,,,,,Aluminium | S-line,,,LED,,,,,,,,,,,,,S-line,
45 jours,SUV,3 ans,5,5,4,Essence,8CV,150CH,250nm1500tr/min,1498CM³,Automatique,8,Traction,4191mm,1794mm,1508mm,405L,8.6s,218KM/H,6.9L/100 km,5.8L/100 km,6L/100 km,,Frontaux | Latéraux | Protège-tête,,,,ESP,Radar de recul | Radar avant | Caméra de recul,,,Progressive,,,,,Avant | Arrières | Clignotants à défilement,En aluminium | 17'',,LED,10 haut-parleurs | MMI Radio Plus | MMI Touch | Commandes au volant | Système Audio Audi (180W),Android Auto | Apple Carplay | Bluetooth | 2 fentes pour carte SD,8.3 pouces,Avant,,Style aluminium | Applications décoratives laquées argent,,Tissu,Sport,Conducteur et passager,,Lunette et vitres arrières sur-teintées,Cuir | 3 branches | Multi-fonctions | à méplat,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles,Anti-éblouissement  | Sans Cadre,Avant/Arrière,166 000 DT TTC,Audi Q235 TFSI  S-Line BVA,,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,,,,Ouvrant | En verre,,,,,,,,,,,,,,,,Accès mains libres,,,Audi Virtual Cockpit | 12.3'',,,,,,,,,,,,,,,,,Aluminium | Eclairés | S-line,,,LED,,,,,,,,,,,,,S-line,
Disponible,SUV,3 ans,5,5,4,Essence,9CV,150CH,250nm1500tr/min,1498CM³,Automatique,6,Traction,4500mm,1843mm,1576mm,530L,9.4s,205KM/H,6.9L/100 km,5.1L/100 km,5.7L/100 km,,Frontaux | Latéraux | Protège-tête,,,,ESP,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,,,Progressive,,,,,Feux de jour | Avant | Arrières,En aluminium | 17'' | 5 branches,,LED,10 haut-parleurs | MMI Radio Plus | MMI Touch | Commandes au volant | Système Audio Audi (180W),USB | Bluetooth | Commande vocale | 1 fente pour carte SD | Audi smartphone interface,Tactile | 8.8'',Avant | Arrière,,Argent micrométallique,Cuir,Cuir | Similicuir,Électriques | Réglage lombaire | Banquette arrière coulissante,Conducteur et passager,,Parebrise athermique | Lunette et vitres arrières sur-teintées | Acoustiques,Cuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants,Anti-éblouissement  | Sans Cadre,Avant/Arrière,207 000 DT TTC,Audi Q335 TFSI  Tech Advanced S-tronic,Métallisée,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,Audi hold assist,,,Ouvrant | Panoramique,,,,,,,,,Pack brillance,,,,,,,,,,10.25'',,,,,,,,,,,,,,,,129g/km,Aluminium,,,,,,,,,,,,,Aluminium,,,Advanced,
Disponible,SUV,3 ans,5,5,4,Essence,9CV,150CH,250nm1500tr/min,1498CM³,Automatique,6,Traction,4500mm,1843mm,1576mm,530L,9.4s,205KM/H,6.9L/100 km,5.1L/100 km,5.8L/100 km,,Frontaux | Latéraux | Protège-tête,,,,ESP,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,,,Progressive,,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 18'',,Full LED,10 haut-parleurs | MMI Radio Plus | Commandes au volant | Système Audio Audi (180W),2 USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | 1 fente pour carte SD | Chargeur de téléphone sans fil,Tactile | 8.8'',Avant,,Aluminium brossé,Cuir,Cuir/similicuir,Électriques | Réglage lombaire | Sport,Conducteur et passager,,Parebrise athermique | Lunette et vitres arrières sur-teintées | Acoustiques,Cuir | 3 branches | Multi-fonctions | Sport | à méplat,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants,Anti-éblouissement  | Sans Cadre,Avant/Arrière,235 000 DT TTC,Audi Q3 Sportback35 TFSI  Black Series S-tronic,Métallisée,,,,,,,,Ouverture et fermeture motorisée,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,Audi hold assist,,,Ouvrant | Panoramique,,,,,Acier inoxydable brossé,,,,Noir Brillant,,,,,Audi Drive Select,,Accès mains libres,,,10.25'',,,,,Noir | Tissu,,,,,,,,,,,129g/km,Aluminium | Eclairés | S-line,,,30 Couleurs,1 prise 12 V,,,,,,,,,Aluminium,,,S-line,
Disponible,SUV,3 ans,5,5,4,Essence,16CV,252CH,370nm1600tr/min,1984CM³,Automatique,7,Intégrale,4689mm,1893mm,1635mm,510L,6.1s,240KM/H,9.3L/100 km,6.5L/100 km,7.5L/100 km,,Frontaux | Latéraux | Protège-tête,,,,ESP,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,,,,,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 19'',,Audi Matrix LED,10 haut-parleurs | MMI Radio Plus | Commandes au volant | Système Audio Audi (180W),USB | Android Auto | Apple Carplay | AUX | Bluetooth,Tactile | 10.1 pouces,Avant | Arrière,3,Alu poli,Cuir,Cuir | Nappa,Électriques | Réglage lombaire | Sport,Conducteur et passager,Velours,Lunette et vitres arrières sur-teintées,Cuir | 3 branches | Multi-fonctions | à méplat,En hauteur et en profondeur,,Automatique | 3 zones,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles | Avec clignotants intégrés,Anti-éblouissement  | Sans Cadre,Avant/Arrière,350 000 DT TTC,Audi Q5 Sportback45 TFSI Quattro S-Line,Métallisée,,,,,,,,Ouverture et fermeture motorisée | Cache Bagages | Ouverture à distance,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,Audi hold assist,,,Ouvrant | Panoramique,,,,,Acier inoxydable brossé,1480L,,,Chrome | Pack brillance,,,,,Audi Drive Select,,Accès mains libres,,,Audi Virtual Cockpit | 12.3'',,,,,Noir,,,,,,,,,,,,Aluminium | Eclairés | S-line,,,LED,,,,,,,,,,Aluminium,,,Advanced,
