,BoiteVitesse,PuissanceFiscale,Prix,NombreDePlaces,NombreDePortes,Cylindrée,Energie,NombreDeCylindres,Carrosserie,Marque,Modele
0,Automatique,11CV,198 000 DT TTC,5,4,1995CM³,Essence,4.0,Berline,ALFA ROMEO, GIULIA2.0 TURBO  SUPER BVA
1,Automatique,17CV,265 000 DT TTC,5,5,1995CM³,Essence,4.0,SUV,ALFA ROMEO, STELVIO2.0 TURBO    BVA Q4
2,Automatique,8CV,156 000 DT TTC,5,4,1395CM³,Essence,4.0,Berline,AUDI, A3 BERLINE35 TFSI BUSINESS EXTENDED
3,Automatique,8CV,198 000 DT TTC,5,4,1984CM³,Essence,4.0,Berline,AUDI, A435 TFSI  BUSINESS LINE PLUS S-TRONIC
4,Automatique,8CV,230 000 DT TTC,5,5,1984CM³,Essence,4.0,Berline,AUDI, A5 SPORTBACK35 TFSI  S-LINE SELECTION S-TRONIC
5,Automatique,11CV,295 000 DT TTC,5,4,1984CM³,Essence | Hybride léger,4.0,Berline,AUDI, A640 TFSI S-LINE
6,Automatique,8CV,166 000 DT TTC,5,5,1498CM³,Essence,4.0,SUV,AUDI, Q235 TFSI  S-LINE BVA
7,Automatique,9CV,207 000 DT TTC,5,5,1498CM³,Essence,4.0,SUV,AUDI, Q335 TFSI  TECH ADVANCED S-TRONIC
8,Automatique,9CV,235 000 DT TTC,5,5,1498CM³,Essence,4.0,SUV,AUDI, Q3 SPORTBACK35 TFSI  BLACK SERIES S-TRONIC
9,Automatique,16CV,350 000 DT TTC,5,5,1984CM³,Essence,4.0,SUV,AUDI, Q5 SPORTBACK45 TFSI QUATTRO S-LINE
10,Automatique,16CV,430 000 DT TTC,7,5,1984CM³,Essence,4.0,SUV,AUDI, Q745 TFSI QUATTRO  S-LINE 7 PLACES BVA
11,Automatique,23CV,510 000 DT TTC,5,5,2995CM³,Essence | Hybride léger,6.0,SUV,AUDI, Q855 TFSI TIPTRONIC QUATTRO
12,Automatique,12CV,299 000 DT TTC,5,5,,Electrique,,SUV,AUDI, Q8 E-TRON55 E-QUATTRO ADVANCED LINE
13,Automatique,12CV,349 000 DT TTC,5,5,,Electrique,,SUV,AUDI, Q8 SPORTBACK E-TRON 55 E-QUATTRO S-LINE
14,Automatique,37CV,390 000 DT TTC,5,4,,Electrique,,Berline,AUDI, E-TRON GTQUATTRO
15,Automatique,9CV,197 800 DT TTC,5,5,1499CM³,Essence,3.0,Monospace,BMW, SÉRIE 2 ACTIVE TOURER218I  LUXURY LINE BVA
16,Automatique,26CV,782 900 DT TTC,5,4,2998CM³,Essence | Hybride léger,6.0,Berline,BMW, SÉRIE 7740I LAUNCH EDITION
17,Automatique,8CV,284 900 DT TTC,5,5,,Electrique,,SUV,BMW, IX3M SPORT
18,Automatique,11CV,424 900 DT TTC,5,5,,Electrique,,SUV,BMW, IXXDRIVE40 PACK SPORT
19,Automatique,11CV,143 900 DT TTC,7,5,1999CM³,Essence,4.0,SUV,BYD, TANG2.0 L  SUPREME BVA
20,Manuelle,6CV,39 900 DT TTC,2,3 | 2 portes latérales coulissantes,1243CM³,Essence,4.0,Utilitaire,CHANGAN, NEW STAR VAN1.2 L
21,Manuelle,7CV,49 900 DT TTC,5,4,1243CM³,Essence,4.0,Pick up,CHANGAN, STAR TRUCK DOUBLE CABINE1.2 L
22,Manuelle,6CV,123 046 DT TTC,5,4,1910CM³,Diesel,4.0,Pick up,CHANGAN, HUNTER1.9 L TURBO DIESEL 4X4
23,Manuelle,4CV,34 068 DT TTC,5,5,998CM³,Essence,3.0,SUV,CHERY, TIGGO 1X POPULAIRE1.0 L TURBO
24,Automatique,9CV,99 580 DT TTC,5,5,1498CM³,Essence,4.0,SUV,CHERY, TIGGO 7 PRO1.5 T CVT
25,Automatique,9CV,109 880 DT TTC,7,5,1498CM³,Essence,4.0,SUV,CHERY, TIGGO 81.5 T DCT LUXURY
26,Automatique,11CV,129 590 DT TTC,7,5,1598CM³,Essence,4.0,SUV,CHERY, TIGGO 8 PRO1.6 T-GDI 7-DCT
27,Automatique,6CV,54 778 DT TTC,5,5,1398CM³,Essence,4.0,Citadine,CHEVROLET, SONIC1.4 L   BVA
28,Automatique,6CV,89 825 DT TTC,5,5,1485CM³,Essence,4.0,SUV,CHEVROLET, GROOVE1.5 L PREMIER
29,Automatique,10CV,148 968 DT TTC,5,5,1451CM³,Essence,4.0,SUV,CHEVROLET, EQUINOX1.5 TURBO  AWD  BVA
30,Automatique,11CV,167 980 DT TTC,5,5,1998CM³,Essence,4.0,SUV,CUPRA, FORMENTOR2.0 L TSI  7 EXCLUSIVE DSG
31,Manuelle,5CV,57 450 DT TTC,5,5,999CM³,Essence,3.0,Citadine,DACIA, SANDERO1.0 L TCE
32,Automatique,7CV,83 900 DT TTC,5,5,1498CM³,Essence,4.0,SUV,DFSK, GLORY 5001.5 CVT
33,Automatique,8CV,99 900 DT TTC,7,5,1499CM³,Essence,4.0,SUV,DFSK, GLORY 5801.5 T LUXURY CVT
34,Manuelle,6CV,63 900 DT TTC,5,4,1499CM³,Essence,4.0,Berline,DONGFENG, S501.5 L
35,Automatique,9CV,122 700 DT TTC,5,5,1500CM³,Essence,4.0,SUV,DONGFENG, T5 EVO1.5 L TURBO
36,Automatique,6CV,84 900 DT TTC,5,5,1598CM³,Essence,4.0,SUV,FAW, BESTURN X401.6 L
37,Automatique,4CV,67 500 DT TTC,4,3,1242CM³,Essence,4.0,Citadine,FIAT, 5001.2 L   BVA
38,Manuelle,5CV,49 900 DT TTC,2,2 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,1248CM³,Diesel,4.0,Utilitaire,FIAT, FIORINO1.3 L MULTIJET
39,Manuelle,6CV,116 800 DT TTC,5,4,1855CM³,Diesel,4.0,Pick up,FODAY, F22 MAX1.9 L TID4 LUXURY
40,Automatique,5CV,320 000 DT TTC,5,4,1996CM³,Diesel,4.0,Pick up,FORD, RANGER RAPTOR2.0 L TDCI 210 CH 4X4   BVA
41,Manuelle,7CV,87 900 DT TTC,3,5 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,2198CM³,Diesel,4.0,Utilitaire,FORD, TRANSIT CUSTOM2.2 L DIESEL
42,Manuelle,6CV,141 000 DT TTC,15,5 | 1 porte latérale coulissante,2198CM³,Diesel,4.0,Utilitaire,FORD, TRANSIT MINIBUSRESTYLÉ 2.2 L D 15 PLACES
43,Automatique,6CV,67 065 DT TTC,5,4,1495CM³,Essence,4.0,Berline,GAC, GA41.5 L   BVA
44,Automatique,7CV,79 970 DT TTC,5,5,1325CM³,Essence,4.0,SUV,GAC, GS31.3 L   BVA
45,Automatique,6CV,68 800 DT TTC,5,5,1498CM³,Essence,4.0,SUV,GEELY, GX3 PRO1.5 L CVT
46,Automatique,9CV,122 800 DT TTC,5,5,1477CM³,Essence | Hybride léger,3.0,SUV,GEELY, AZKARRA1.5 L TURBO HYBRID 4WD
47,Manuelle,7CV,82 975 DT TTC,5,4,1996CM³,Diesel,4.0,Pick up,GREAT WALL, WINGLE 5 DOUBLE CABINE2.0 L DIESEL 4X2
48,Automatique,9CV,100 980 DT TTC,5,5,1479CM³,Essence,4.0,SUV,HAVAL, JOLION1.5 T
49,Automatique,8CV,144 900 DT TTC,5,5,1499CM³,Essence | Hybride,4.0,SUV,HAVAL, H6 HYBRIDE1.5 T HEV
50,Automatique,5CV,85 990 DT TTC,5,5,1498CM³,Essence | Hybride,4.0,Citadine,HONDA, JAZZ1.5 L E-HEV
51,Automatique,7CV,127 990 DT TTC,5,5,1498CM³,Essence,4.0,SUV,HONDA, HR-V1.5 L CVT EX
52,Automatique,10CV,159 990 DT TTC,5,4,1498CM³,Essence,4.0,Berline,HONDA, CIVIC1.5 L CVT
53,Automatique,7CV,186 990 DT TTC,5,4,1993CM³,Essence | Hybride,4.0,Berline,HONDA, CIVIC HYBRIDE2.0 L E-HEV
54,Manuelle,4CV,33 809 DT TTC,5,5,998CM³,Essence,3.0,Citadine,HYUNDAI, GRAND I10 POPULAIRE1.0 L
55,Manuelle,5CV,56 450 DT TTC,5,4,1197CM³,Essence,4.0,Berline,HYUNDAI, GRAND I10 SEDAN1.2 L
56,Automatique,7CV,90 000 DT TTC,5,5,998CM³,Essence,3.0,SUV,HYUNDAI, VENUE1.0 L TURBO   BVA
57,Manuelle,6CV,85 000 DT TTC,5,4,1396CM³,Essence,4.0,Berline,HYUNDAI, ACCENT1.4 L
58,Automatique,7CV,100 000 DT TTC,5,5,998CM³,Essence,3.0,Compacte,HYUNDAI, I301.0 L T-GDI DCT-7
59,Automatique,7CV,100 000 DT TTC,5,4,998CM³,Essence,3.0,Berline,HYUNDAI, I30 FASTBACK1.0 L T-GDI DCT-7
60,Automatique,5CV,130 000 DT TTC,5,5,1580CM³,Essence | Hybride,4.0,SUV,HYUNDAI, KONA HYBRIDE1.6 L GDI HYBRIDE   BVA
61,Automatique,11CV,123 950 DT TTC,5,5,,Electrique,,SUV,HYUNDAI, KONA ELECTRIC39 KWH
62,Automatique,10CV,180 000 DT TTC,5,5,1598CM³,Essence,4.0,SUV,HYUNDAI, TUCSON1.6 L T-GDI 7-DCT 4WD TOP GRADE
63,Automatique,9CV,170 000 DT TTC,5,5,1598CM³,Essence | Hybride,4.0,SUV,HYUNDAI, TUCSON HYBRIDE1.6 L T-GDI  2WD TOP GRADE BVA 6
64,Automatique,12CV,280 000 DT TTC,7,5,2199CM³,Diesel,4.0,SUV,HYUNDAI, SANTA FE2.2 L CRDI HIGH GRADE
65,Manuelle,8CV,159 600 DT TTC,11,5,2199CM³,Diesel,4.0,Monospace,HYUNDAI, STARIA 11 PLACES2.2 CRDI
66,Automatique,12CV,350 000 DT TTC,5,5,1998CM³,Diesel,4.0,SUV,JAGUAR, E-PACE2.0 D 163 R-DYNAMIC S
67,Automatique,16CV,399 000 DT TTC,5,5,1997CM³,Essence,4.0,SUV,JAGUAR, F-PACE2.0 T 250 R-DYNAMIC S
68,Automatique,8CV,126 500 DT TTC,5,5,1368CM³,Essence,4.0,SUV,JEEP, RENEGADE1.4 TURBO  4X2 LIMITED BVA
69,Automatique,18CV,327 000 DT TTC,5,3,2000CM³,Essence,4.0,SUV,JEEP, WRANGLER2.0 L RUBICON
70,Manuelle,4CV,30 935 DT TTC,5,5,998CM³,Essence,3.0,Citadine,KIA, PICANTO POPULAIRE1.0 L
71,Automatique,8CV,116 980 DT TTC,5,5,1353CM³,Essence,4.0,SUV,KIA, SELTOS1.4 T-GDI
72,Manuelle,8CV,66 990 DT TTC,3,2,2497CM³,Diesel,4.0,Pick up,KIA, K2500SIMPLE CABINE
