Aide au démarrage en côte,Alimentation électrique,Allumage automatique des feux,Bouton Start & Stop,Clé intelligente,Climatisation,Détecteur de pluie,Direction assistée,Fermeture centralisée,Frein de stationnement éléctrique,Limiteur de vitesse,Ordinateur de bord,Régulateur de vitesse,Rétroviseur intérieur,Rétroviseurs extérieurs,Sélecteur de modes de conduite,Sièges avant réglables en hauteur,Système Start & Stop,Vitres électriques,Volant réglable,Accoudoirs,Appuis têtes arrières,Autoradio,Connectivité,Ecran,Pommeau de levier de vitesse,Sellerie,Sièges,Tableau de bord,Vitres,Volant,Aide au stationnement,Antibrouillards,Eléments extérieurs couleur carrosserie,Feux à LED,Jantes,Phares,Spoiler arrière,Carrosserie,Hauteur,Largeur,Longueur,Nombre de places,Nombre de portes,Peinture,Volume du coffre,0-100 Km/h,Consommation extra-urbaine,Consommation mixte,Consommation urbaine,Vitesse maxi,Boîte,Couple,Cylindrée,Energie,Nombre de cylindres,Nombre de rapports,Puissance (ch.din),Puissance fiscale,Transmission,ABS,Airbags,Anti-démarrage électronique,Anti-patinage,Assistance au freinage,Fixations ISOFIX,Surveillance d’angle mort,Garantie,prix,description,Modes de conduite,Dynamic Response,Autonomie électrique,Stores pare-soleil,Volume du coffre avant,Temps de recharge rapide,GPS,Consommation électrique,Capot moteur actif,Volume du coffre maximal,Lave Phares,Kit rangement,Détecteur de fatigue,Système de récupération d,Temps de recharge rapid,Détection des piétons,Kit sécurité,Instrumentation digitale,Coffre à bagages,Frein de stationnement,Emissions de CO2,Alerte de circulation transversale,Caméra d,Pack aérodynamique M,Caméra de recul,Ordinateur de Bord,Temps de recharge normale,Type,Aileron arrière,Sideblades,Contrôle de pression des pneus,Rétroviseur Intérieur,Volant et pommeau de levier de vitesse en cuir,Empattement,Tapis de sol,Rideau de benne,Arceau de benne,Éclairage d,Aide au Stationnement,Carte mains libres,Instrumentation numérique,Suspension,Contrôle du roulis de la remorque,Pack Sport Chrono,Financement,Boulons de roues protégés,Lumières d,Baguettes extérieures d,Sièges réglables en hauteur,Aide au maintien dans la voie,Airbags frontaux,Stabilisateur de vent latéral,Pédaliers,Cloison entre cabine et compartiment arrière,Consommation électrique WLTP,Fermeture assistée des portes,Différentiel autobloquant,Seuils de portes,Marchepieds latéraux,Ceintures de securite,Kit éclairage,Version pays chauds,Anti-Patinage,Alerte de franchissement de ligne,Ecran central,Sorties d’échappement,Puissance électrique,Caméra latérale,Magic Wash,Frein de parking électrique,SYSTÈME START & STOP,DSC,Freinage,Ciel de pavillon,Contrôle adaptatif de la charge,Voiture populaire,Radar de Stationnement,Nombre de moteurs électriques,ALARME ANTIVOL,Injection,ECRAN,Reconnaissance des panneaux,Kit fumeurs,Volume utile,RADAR DE STATIONNEMENT,Finition intérieure,Surface de chargement,Alarme antivol,Autonomie électrique WLTP,Navigation,4 roues directrices,Toit,Autonomie WLTP,Avertisseur de changement de voie,Contrôle de stabilité anti-retournement,Kit carrosserie,Affichage tête haute,Airbags rideaux,Frein de parking éléctrique,Charge utile,Boîte à gants réfrigérée,Assistant de feux de route,Poignées de portes,Feux de position à LED,Train roulant,Prise 12V,Airbags latéraux,Pneumatiques runflat,Baguettes extérieures d'encadrement des vitres,Préparation pour téléphone,Barre stabilisatrice,Poids total en charge,Spoiler Arrière,Barres de toit,Anti-démarrage,Pack nuit,Radar de stationnement,Système de descente en côte,Puissance avec overboost (ch.din),Clé Intelligente,Nombre de moteurs,Terrain Response,Degivrage lunette arriere,Autonomie NEDC,Conduite autonome,Boule d,Batterie,Lumières d'ambiance,Calandre,Couple électrique
Autohold,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique,Oui,Électrique,À distance,Oui,Oui,Ecran TFT 4.2,Oui,Anti-éblouissement,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Normal | Sport | Eco,Conducteur,Oui,Avant/Arrière,En hauteur et en profondeur,Avant,3,6 haut-parleurs | Commandes au volant,USB | Apple Carplay | AUX | Android Auto | Bluetooth | Commande vocale,Tactile | 8 pouces,Cuir,Tissu,Avec Appuie-tête intégrés | Monoform Style,Similicuir,Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions | à méplat,Radar de recul | Caméra de recul,LED,Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 19,LED,Oui,SUV,1595 mm,1800 mm,4210 mm,5,5,Métallisée,422 L,10.4 s,4.5 L/100 km,5 L/100 km,5.9 L/100 km,180 KM/H,Manuelle,200 nm 1750 tr/min,999 CM³,Essence,3,6,117 CH,6 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,AFU | EBD | NBAS,Oui,Oui,2 ans,89400 DT,Nissan juke1.0 L DIG-T Tekna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autohold,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique,Oui,Électrique,À distance,Oui,Oui,Ecran TFT 4.2,Oui,Anti-éblouissement,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Normal | Sport | Eco,Conducteur,Oui,Avant/Arrière,En hauteur et en profondeur,Avant,3,6 haut-parleurs | Commandes au volant,USB | Apple Carplay | AUX | Android Auto | Bluetooth | Commande vocale,Tactile | 8 pouces,Cuir,TEP,Avec Appuie-tête intégrés | Monoform Style,TEP,Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions | à méplat | Avec palettes,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360,LED,Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 19,LED,Oui,SUV,1595 mm,1800 mm,4210 mm,5,5,Métallisée,422 L,10.4 s,4.5 L/100 km,5 L/100 km,5.9 L/100 km,180 KM/H,Automatique,200 nm 1750 tr/min,999 CM³,Essence,3,7,117 CH,6 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,AFU | EBD | NBAS,Oui,Oui,2 ans,96400 DT,Nissan juke1.0 L DIG-T DCT Tekna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autohold,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique,Oui,Électrique,À distance,Oui,Oui,Ecran TFT 4.2,Oui,Anti-éblouissement,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Normal | Sport | Eco,Conducteur,Oui,Avant/Arrière,En hauteur et en profondeur,Avant,3,6 haut-parleurs | Commandes au volant,USB | Apple Carplay | AUX | Android Auto | Bluetooth | Commande vocale,Tactile | 8 pouces,Cuir,Cuir/Alcantara,Avec Appuie-tête intégrés | Monoform Style,Cuir | TEP,Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions | à méplat | Avec palettes,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360,LED,Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 19,LED,Oui,SUV,1595 mm,1800 mm,4210 mm,5,5,Métallisée,422 L,10.4 s,4.5 L/100 km,5 L/100 km,5.9 L/100 km,180 KM/H,Automatique,200 nm 1750 tr/min,999 CM³,Essence,3,7,117 CH,6 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,AFU | EBD | NBAS,Oui,Oui,2 ans,97400 DT,Nissan juke1.0 L DIG-T DCT Tekna Perso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSA,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique | Bizone | Ventilation arrière,Oui,Oui,À distance,Oui,Oui,Ecran TFT 7,Oui,Anti-éblouissement,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Normal | Sport | Eco,Conducteur et passager,Oui,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,,6 haut-parleurs | Commandes au volant,USB | USB-C | Android Auto | Apple Carplay | AUX | Bluetooth | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Cuir,Tissu,Réglage lombaire,,Teintées | Lunette et vitres arrières sur-teintées,Cuir | Avec palettes,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360,LED,Poignées de portes,Feux de jour | Avant | Arrières,En aluminium | 18,Full LED,,SUV,1625 mm,1835 mm,4425 mm,5,5,Métallisée,504 L,8.9 s,5.3 L/100 km,6.1 L/100 km,7.5 L/100 km,199 KM/H,Automatique,250 nm 2800 tr/min,1332 CM³,Essence,4,,150 CH,8 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,EBD | Système anti-collision avec détection des piétons |  Freinage automatique anti-collision | VDC,Oui,,2 ans,143500 DT,Nissan Qashqai1.3 L N-connecta,,,,,,,Oui,,,,,,,,,,,,Ouverture et fermeture motorisée | Ouverture mains libres | Cache Bagages,,,,,,,,,,,,Oui,,,,Oui,,,,,,12.3,,,,,,Oui,Chrome,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panoramique,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,Chromée,
HSA,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique | Bizone | Ventilation arrière,Oui,Oui,À distance,Oui,Oui,Ecran TFT 7,Oui,Anti-éblouissement,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Normal | Sport | Eco,Conducteur et passager,Oui,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,,10 haut-parleurs | Haut-parleurs Bose | Commandes au volant,USB | USB-C | Apple Carplay | AUX | Android Auto | Bluetooth | Chargeur de téléphone sans fil,Tactile | 9 pouces,Cuir,Similicuir/Tissu,Conducteur à réglage électrique | Réglage lombaire,,Teintées | Lunette et vitres arrières sur-teintées,Cuir | Avec palettes,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360,LED,Poignées de portes,Feux de jour | Avant | Arrières,En aluminium | 19,Full LED,,SUV,1625 mm,1835 mm,4425 mm,5,5,Métallisée,504 L,8.9 s,5.3 L/100 km,6.1 L/100 km,7.5 L/100 km,199 KM/H,Automatique,250 nm 2800 tr/min,1332 CM³,Essence,4,,150 CH,8 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,EBD | Système anti-collision avec détection des piétons |  Freinage automatique anti-collision | VDC,Oui,,2 ans,144500 DT,Nissan Qashqai1.3 L Tekna,,,,,,,Oui,,,,,,,,,,,,Ouverture et fermeture motorisée | Ouverture mains libres | Cache Bagages,,,,,,,,,,,,Oui,,,,Oui,,,,,,12.3,,,,,,Oui,Chrome,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panoramique | En verre,,,,,,,,,,Oui,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Chromée,
HSA,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique | Bizone | Ventilation arrière,Oui,Oui,À distance,Oui,Oui,Ecran TFT 7,Oui,Anti-éblouissement,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Normal | Sport | Eco,Conducteur et passager,Oui,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,,10 haut-parleurs | Haut-parleurs Bose | Commandes au volant,USB | USB-C | Apple Carplay | AUX | Android Auto | Bluetooth | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Cuir,Similicuir/Tissu,Conducteur à réglage électrique | Chauffants | Réglage lombaire,,Teintées | Lunette et vitres arrières sur-teintées,Cuir | Chauffant | Avec palettes,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360,LED,Poignées de portes,Feux de jour | Avant | Arrières,En aluminium | 19,Full LED,,SUV,1625 mm,1835 mm,4425 mm,5,5,Métallisée,504 L,8.9 s,5.3 L/100 km,6.1 L/100 km,7.5 L/100 km,199 KM/H,Automatique,250 nm 2800 tr/min,1332 CM³,Essence,4,,150 CH,8 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,EBD | Système anti-collision avec détection des piétons |  Freinage automatique anti-collision | VDC,Oui,,2 ans,148500 DT,Nissan Qashqai1.3 L Tekna High,,,,,,,Oui,,,,,,,,,,,,Ouverture et fermeture motorisée | Ouverture mains libres | Cache Bagages,,,,,,,,,,,,Oui,,,,Oui,,,,,,12.3,,,,,,Oui,Chrome,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panoramique | En verre,,,,,,,,,,Oui,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Chromée,
,,Oui,,,Automatique,Oui,Oui,À distance,,,Oui,Avec fonction freinage,Anti-éblouissement,Électriques | Rabattables | Dégivrants,MINI Excitement Pack,Conducteur et passager,,Avant,En hauteur et en profondeur,Avant,,MINI Visual Boost | Commandes au volant,USB-C | Apple Carplay | Android Auto | Bluetooth,Tactile,,Tissu,,,,Cuir | Multi-fonctions | Sport,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,,Feux de jour | Avant | Arrières,En aluminium | 16,Full LED,,Citadine,1414 mm,1727 mm,3863 mm,5,3,,211 L,10.3 s,,5.5 L/100 km,,193 KM/H,Automatique,190 nm 1380 tr/min,1499 CM³,Essence,3,6,102 CH,5 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,,,,,2 ans,122500 DT,MINI 3 portes1.5 L One,,,,,,,Oui,,,,,,,,,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,Velours,,,,,,,,,,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Noir brillant,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
,,Oui,,,Automatique,Oui,Oui,À distance,,,Oui,Avec fonction freinage,Anti-éblouissement,Électriques | Rabattables | Dégivrants,MINI Excitement Pack,Conducteur et passager,,Avant,En hauteur et en profondeur,Avant,,MINI Visual Boost | Commandes au volant,USB-C | Apple Carplay | Android Auto | Bluetooth,Tactile,,Tissu,,,,Cuir | Multi-fonctions | Sport,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,,Feux de jour | Avant | Arrières,En aluminium | 16,Full LED,,Citadine,1425 mm,1727 mm,4023 mm,5,5,,278 L,10.6 s,,5.6 L/100 km,,192 KM/H,Automatique,190 nm 1380 tr/min,1499 CM³,Essence,3,6,102 CH,5 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,,,,,2 ans,126500 DT,MINI 5 portes1.5 L One,,,,,,,Oui,,,,,,,,,,Triangle de présignalisation,,,,,,,,,,,,,,,,,,Velours,,,,,,,,,,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Noir brillant,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
,,Oui,,Accès mains libres,Automatique,Oui,Servotronic,À distance,,,Oui,Avec fonction freinage,Anti-éblouissement,Électriques | Rabattables | Dégivrants,MINI Excitement Pack,Conducteur et passager,,Avant/Arrière,En hauteur et en profondeur,Avant,,MINI Visual Boost | Commandes au volant,USB | Apple Carplay | AUX | Android Auto | Bluetooth,Oui,Cuir,Tissu,,,,Cuir | Multi-fonctions | Sport,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,LED,Oui,,En aluminium | 17,LED,,SUV,1557 mm,1822 mm,4299 mm,5,5,,450 L,12 s,5.7 L/100 km,6.2 L/100 km,7.3 L/100 km,185 KM/H,Automatique,190 nm 1380 tr/min,1499 CM³,Essence,3,6,102 CH,6 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,,,,5 ans (2+3),140000 DT,MINI countryman1.5 L One,,,,,,,Oui,,,,Oui,Oui,,,,,,,Ouverture et fermeture motorisée,,143 g/km,,,,,,,,,,,,,,Oui,,,,,,,,,,,Oui,,Noir Mat,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,Anthracite,,,,,,,,,Oui,,,Noir brillant,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,Noires,,,,,,,,,,,,,,,,
,,Oui,,Accès mains libres,Automatique | Bizone,Oui,Servotronic,À distance,,,Oui,Avec fonction freinage,,Électriques | Rabattables | Dégivrants,MINI Excitement Pack,Conducteur et passager,,Avant/Arrière,En hauteur et en profondeur,Avant,,MINI Visual Boost | Commandes au volant,USB | Apple Carplay | AUX | Bluetooth,Oui,Cuir,Tissu,Sport,,Parebrise athermique,Cuir | Multi-fonctions | Sport,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,LED,Oui,,En aluminium | 18,Full LED,,SUV,1557 mm,1822 mm,4299 mm,5,5,,450 L,12 s,5.7 L/100 km,6.2 L/100 km,7.3 L/100 km,185 KM/H,Automatique,190 nm 1380 tr/min,1499 CM³,Essence,3,6,102 CH,6 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,ESP,,,,5 ans (2+3),172300 DT,MINI countryman1.5 L One Pack Funny,,,,,,,Oui,,,,Oui,Oui,,,,,,,Ouverture et fermeture motorisée,,143 g/km,,,,,,,,,,,,,,Oui,,,,,,,,,,,Oui,,Chrome,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,Anthracite,,,,,,,,,Oui,,,Noir brillant,,,,,,Ouvrant | En verre,,,,,,,,,,,,,,,,Oui,,,,,,Noires,,,,,,,,,,,,,,,,
