,Marque,Modele,Annee,BoiteVitesse,Kilometrage,Energie,PuissanceFiscale,Prix
0,PEUGEOT,3008,2019.0,Automatique,64000 km,Essence,7 cv,85 000 DT
1,SUZUKI,DZIRE,2020.0,Manuelle,77000 km,Essence,5 cv,35 700 DT
2,RENAULT,CLIO 4,2019.0,Manuelle,120000 km,Essence,5 cv,43 000 DT
3,RENAULT,CLIO 4,2017.0,Manuelle,160000 km,Essence,5 cv,350 000 DT
4,PEUGEOT,301,2020.0,Manuelle,80000 km,Essence,5 cv,28 800 DT
5,MAZDA,3 SEDAN,2017.0,Manuelle,123000 km,Essence,6 cv,52 000 DT
6,KIA,PICANTO,2020.0,Manuelle,32000 km,Essence,4 cv,40 000 DT
7,PEUGEOT,508,2014.0,Automatique,230000 km,Essence,7 cv,39 200 DT
8,SEAT,IBIZA,2018.0,Manuelle,160000 km,Diesel,4 cv,38 000 DT
9,VOLKSWAGEN,POLO 5,2005.0,Manuelle,189000 km,Essence,5 cv,21 000 DT
10,PEUGEOT,208,2019.0,Manuelle,70000 km,Essence,5 cv,32 500 DT
11,VOLKSWAGEN,GOLF 7,2015.0,Manuelle,95000 km,Essence,15 cv,56 800 DT
12,PEUGEOT,3008,2019.0,Automatique,64000 km,Essence,7 cv,85 000 DT
13,SUZUKI,DZIRE,2020.0,Manuelle,77000 km,Essence,5 cv,35 700 DT
14,RENAULT,CLIO 4,2019.0,Manuelle,120000 km,Essence,5 cv,43 000 DT
15,RENAULT,CLIO 4,2017.0,Manuelle,160000 km,Essence,5 cv,350 000 DT
16,PEUGEOT,301,2020.0,Manuelle,80000 km,Essence,5 cv,28 800 DT
17,MAZDA,3 SEDAN,2017.0,Manuelle,123000 km,Essence,6 cv,52 000 DT
18,KIA,PICANTO,2020.0,Manuelle,32000 km,Essence,4 cv,40 000 DT
19,PEUGEOT,508,2014.0,Automatique,230000 km,Essence,7 cv,39 200 DT
20,SEAT,IBIZA,2018.0,Manuelle,160000 km,Diesel,4 cv,38 000 DT
21,VOLKSWAGEN,POLO 5,2005.0,Manuelle,189000 km,Essence,5 cv,21 000 DT
22,PEUGEOT,208,2019.0,Manuelle,70000 km,Essence,5 cv,32 500 DT
23,VOLKSWAGEN,GOLF 7,2015.0,Manuelle,95000 km,Essence,15 cv,56 800 DT
24,VOLKSWAGEN,GOLF 7,2018.0,Automatique,109000 km,Diesel,6 cv,81 000 DT
25,FIAT,DOBLO,2014.0,Manuelle,390000 km,Diesel,6 cv,19 000 DT
26,SSANGYONG,XLV,2018.0,Automatique,252000 km,Essence,8 cv,45 000 DT
27,SEAT,IBIZA,2021.0,Manuelle,104000 km,Essence,4 cv,49 500 DT
28,FORD,FIESTA,2012.0,Manuelle,205500 km,Essence,5 cv,26 200 DT
29,VOLKSWAGEN,GOLF 7,2014.0,Manuelle,158000 km,Essence,5 cv,55 000 DT
30,SEAT,IBIZA,2018.0,Manuelle,160000 km,Essence,4 cv,40 000 DT
31,AUDI,A3,2014.0,Manuelle,101000 km,Essence,5 cv,57 000 DT
32,KIA,RIO,2022.0,Manuelle,12000 km,Essence,5 cv,67 500 DT
33,VOLKSWAGEN,GOLF 7,2019.0,Automatique,177000 km,Essence,6 cv,59 000 DT
34,HAVAL,H6,2020.0,Automatique,64000 km,Essence,9 cv,90 000 DT
35,PEUGEOT,2008,2016.0,Automatique,124000 km,Essence,5 cv,42 000 DT
36,JEEP,COMPASS,2016.0,Automatique,130000 km,Essence,10 cv,67 000 DT
37,PEUGEOT,2008,2016.0,Manuelle,147000 km,Essence,5 cv,38 000 DT
